st	accession	sp	gn
Pseudobacter_ginsenosidimutans	GCF_004291315.1	Pseudobacter ginsenosidimutans	Pseudobacter
Pseudobacteroides_cellulosolvens_ATCC_35603_=_DSM_2933	GCF_001262605.1	Pseudobacteroides cellulosolvens	Pseudobacteroides
Pseudobutyrivibrio_ruminis_HUN009	GCF_000703005.1	Pseudobutyrivibrio ruminis	Pseudobutyrivibrio
Pseudochrobactrum_sp._AO18b	GCF_000409565.1	Pseudochrobactrum sp.	Pseudochrobactrum
Pseudocitrobacter_sp._RIT_415	GCF_003057695.2	Pseudocitrobacter sp.	Pseudocitrobacter
Pseudoclavibacter_helvolus	GCF_900014995.1	Pseudoclavibacter helvolus	Pseudoclavibacter
Pseudoclostridium_thermosuccinogenes	GCF_002896995.1	Pseudoclostridium thermosuccinogenes	Pseudoclostridium
Pseudodesulfovibrio_piezophilus_C1TLV30	GCF_000341895.1	Pseudodesulfovibrio piezophilus	Pseudodesulfovibrio
Pseudodonghicola_xiamenensis_DSM_18339	GCF_000429365.1	Pseudodonghicola xiamenensis	Pseudodonghicola
Pseudoflavitalea_sp._5GH32-13	GCF_003555545.1	Pseudoflavitalea sp.	Pseudoflavitalea
Pseudoflavonifractor_capillosus_ATCC_29799	GCF_000169255.2	Pseudoflavonifractor capillosus	Pseudoflavonifractor
Pseudofulvimonas_gallinarii	GCF_003732435.1	Pseudofulvimonas gallinarii	Pseudofulvimonas
Pseudoglutamicibacter_albus_DNF00011	GCF_000758985.1	Pseudoglutamicibacter albus	Pseudoglutamicibacter
Pseudogracilibacillus_auburnensis	GCF_003201975.1	Pseudogracilibacillus auburnensis	Pseudogracilibacillus
Pseudogulbenkiania_subflava_DSM_22618	GCF_900177275.1	Pseudogulbenkiania subflava	Pseudogulbenkiania
Pseudohaliea_rubra_DSM_19751	GCF_000764025.1	Pseudohaliea rubra	Pseudohaliea
Pseudohongiella_spirulinae	GCF_001444425.1	Pseudohongiella spirulinae	Pseudohongiella
Pseudokineococcus_lusitanus	GCF_003751265.1	Pseudokineococcus lusitanus	Pseudokineococcus
Pseudolabrys_sp._GY_H	GCF_003367195.1	Pseudolabrys sp.	Pseudolabrys
Pseudomonadaceae_bacterium_SI-3	GCF_004010935.1	Pseudomonadaceae bacterium	Pseudomonadaceae
Pseudomonas_indica_NBRC_103045	GCF_002091635.1	Pseudomonas indica	Pseudomonas
Pseudonocardia_spinosispora_DSM_44797	GCF_000429025.1	Pseudonocardia spinosispora	Pseudonocardia
Pseudonocardiaceae_bacterium_YIM_PH_21723	GCF_003600225.1	Pseudonocardiaceae bacterium	Pseudonocardiaceae
Pseudooceanicola_marinus	GCF_900172385.1	Pseudooceanicola marinus	Pseudooceanicola
Pseudooctadecabacter_jejudonensis	GCF_900172275.1	Pseudooctadecabacter jejudonensis	Pseudooctadecabacter
Pseudopedobacter_saltans_DSM_12145	GCF_000190735.1	Pseudopedobacter saltans	Pseudopedobacter
Pseudopelagicola_gijangensis	GCF_900142085.1	Pseudopelagicola gijangensis	Pseudopelagicola
Pseudophaeobacter_leonis	GCF_002087335.1	Pseudophaeobacter leonis	Pseudophaeobacter
Pseudopropionibacterium_propionicum_F0230a	GCF_000277715.1	Pseudopropionibacterium propionicum	Pseudopropionibacterium
Pseudoramibacter_alactolyticus_ATCC_23263	GCF_000185505.1	Pseudoramibacter alactolyticus	Pseudoramibacter
Pseudorhizobium_pelagicum	GCF_000722615.1	Pseudorhizobium pelagicum	Pseudorhizobium
Pseudorhodobacter_aquimaris	GCF_001202025.1	Pseudorhodobacter aquimaris	Pseudorhodobacter
Pseudorhodoferax_sp._Leaf274	GCF_001422445.1	Pseudorhodoferax sp.	Pseudorhodoferax
Pseudorhodoplanes_sinuspersici	GCF_002119765.1	Pseudorhodoplanes sinuspersici	Pseudorhodoplanes
Pseudoroseicyclus_aestuarii	GCF_003217255.1	Pseudoroseicyclus aestuarii	Pseudoroseicyclus
Pseudoruegeria_marinistellae	GCF_001509585.1	Pseudoruegeria marinistellae	Pseudoruegeria
Pseudoscardovia_radai	GCF_002259605.1	Pseudoscardovia radai	Pseudoscardovia
Pseudosphingobacterium_domesticum	GCF_900109575.1	Pseudosphingobacterium domesticum	Pseudosphingobacterium
Pseudospirillum_japonicum	GCF_900108915.1	Pseudospirillum japonicum	Pseudospirillum
Pseudosporangium_ferrugineum	GCF_003002065.1	Pseudosporangium ferrugineum	Pseudosporangium
Pseudothermotoga_thermarum_DSM_5069	GCF_000217815.1	Pseudothermotoga thermarum	Pseudothermotoga
Pseudovibrio_stylochi	GCF_001562055.1	Pseudovibrio stylochi	Pseudovibrio
Pseudoxanthobacter_soli_DSM_19599	GCF_900148505.1	Pseudoxanthobacter soli	Pseudoxanthobacter
Pseudoxanthomonas_suwonensis	GCF_000972865.1	Pseudoxanthomonas suwonensis	Pseudoxanthomonas
Pseudozobellia_thermophila	GCF_900141855.1	Pseudozobellia thermophila	Pseudozobellia
Psychrilyobacter_atlanticus_DSM_19335	GCF_000426625.1	Psychrilyobacter atlanticus	Psychrilyobacter
Psychrobacillus_sp._OK032	GCF_900111345.1	Psychrobacillus sp.	Psychrobacillus
Psychrobacter_phenylpyruvicus_DSM_7000_=_NBRC_102152	GCF_000685805.1	Psychrobacter phenylpyruvicus	Psychrobacter
Psychroflexus_gondwanensis_ACAM_44	GCF_000355905.1	Psychroflexus gondwanensis	Psychroflexus
Psychromicrobium_lacuslunae	GCF_000950575.1	Psychromicrobium lacuslunae	Psychromicrobium
Psychromonas_arctica_DSM_14288	GCF_000482725.1	Psychromonas arctica	Psychromonas
Psychroserpens_mesophilus	GCF_000826645.1	Psychroserpens mesophilus	Psychroserpens
Psychrosphaera_saromensis	GCF_002954545.1	Psychrosphaera saromensis	Psychrosphaera
Pueribacillus_theae	GCF_003097615.1	Pueribacillus theae	Pueribacillus
